density,temperature,TPSA,MW,LogP,HallKierAlpha,delta_phi
24.999999999999996,75.25,31.5,18.015,-0.8247,-0.04,-1.0165448700124773
25.999999999999996,75.25,31.5,18.015,-0.8247,-0.04,-0.9918766378170968
26.999999999999996,75.25,31.5,18.015,-0.8247,-0.04,-0.9673272659402852
28.0,75.25,31.5,18.015,-0.8247,-0.04,-0.9429638089624204
29.0,75.25,31.5,18.015,-0.8247,-0.04,-0.9188442593899336
29.999999999999996,75.25,31.5,18.015,-0.8247,-0.04,-0.8950187770440626
30.999999999999996,75.25,31.5,18.015,-0.8247,-0.04,-0.8715307532926809
31.999999999999996,75.25,31.5,18.015,-0.8247,-0.04,-0.848417727639078
33.0,75.25,31.5,18.015,-0.8247,-0.04,-0.8257121699447396
33.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.8034421362432856
35.0,75.25,31.5,18.015,-0.8247,-0.04,-0.7816318009781953
36.0,75.25,31.5,18.015,-0.8247,-0.04,-0.7603018702135834
36.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.7394698911457307
38.00000000000001,75.25,31.5,18.015,-0.8247,-0.04,-0.7191504890077982
38.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.6993555826273575
40.0,75.25,31.5,18.015,-0.8247,-0.04,-0.6800946425435191
41.0,75.25,31.5,18.015,-0.8247,-0.04,-0.6613750494875538
41.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.643202580583849
42.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.625582002209144
43.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.6085177007122952
45.0,75.25,31.5,18.015,-0.8247,-0.04,-0.5920142575054302
45.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.5760768859793916
47.00000000000001,75.25,31.5,18.015,-0.8247,-0.04,-0.5607116883939051
47.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.5459257407707138
48.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.53172705139509
49.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.5181244538460421
50.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.5051274917417116
51.999999999999986,75.25,31.5,18.015,-0.8247,-0.04,-0.4927463384573775
52.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.4809917778047325
54.0,75.25,31.5,18.015,-0.8247,-0.04,-0.4698752542121823
55.0,75.25,31.5,18.015,-0.8247,-0.04,-0.4594089851567302
55.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.4496061167592007
57.0,75.25,31.5,18.015,-0.8247,-0.04,-0.4404808977203034
57.999999999999986,75.25,31.5,18.015,-0.8247,-0.04,-0.4320488477566713
58.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.4243269029640474
59.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.4173335292998461
60.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.4110888037065081
62.0,75.25,31.5,18.015,-0.8247,-0.04,-0.4056144682401246
62.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.400933965200871
63.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.3970724611361967
65.0,75.25,31.5,18.015,-0.8247,-0.04,-0.3940568658204374
66.0,75.25,31.5,18.015,-0.8247,-0.04,-0.3919158500939584
67.0,75.25,31.5,18.015,-0.8247,-0.04,-0.3906798646228706
67.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.390381160588473
69.0,75.25,31.5,18.015,-0.8247,-0.04,-0.3910538130056801
70.0,75.25,31.5,18.015,-0.8247,-0.04,-0.3927337475419369
71.0,75.25,31.5,18.015,-0.8247,-0.04,-0.3954587720726038
71.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.3992686145252713
73.0,75.25,31.5,18.015,-0.8247,-0.04,-0.4042049687143032
73.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.4103115498075971
75.0,75.25,31.5,18.015,-0.8247,-0.04,-0.4176341608301626
75.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.426220771243041
76.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.4361216082031786
77.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.4473892606603734
79.0,75.25,31.5,18.015,-0.8247,-0.04,-0.460078796027615
80.0,75.25,31.5,18.015,-0.8247,-0.04,-0.4742478887992664
81.0,75.25,31.5,18.015,-0.8247,-0.04,-0.4899569602098395
81.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.5072693278377487
82.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.5262513639636137
84.0,75.25,31.5,18.015,-0.8247,-0.04,-0.5469726614916944
85.0,75.25,31.5,18.015,-0.8247,-0.04,-0.5695062063261092
86.0,75.25,31.5,18.015,-0.8247,-0.04,-0.5939285552505498
86.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.6203200185755233
87.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.6487648470797731
89.0,75.25,31.5,18.015,-0.8247,-0.04,-0.679351423063583
90.0,75.25,31.5,18.015,-0.8247,-0.04,-0.7121724556423662
90.99999999999999,75.25,31.5,18.015,-0.8247,-0.04,-0.7473251807216159
92.0,75.25,31.5,18.015,-0.8247,-0.04,-0.7849115664048703
